Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Anion of Electrolyte ,[C] of Anion (M),Cation of Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,sum,< 70,Paper
CuxO,Nanocrystal,Cu,40.6,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,69.23076923,0,1.619433198,18.62348178,89.47368421,FALSE,
CuxO,Nanocrystal,Cu,40.6,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,56.07287449,0.931174089,1.821862348,39.40080972,98.22672065,FALSE,
CuxO,Nanocrystal,Cu,40.6,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,56.88259109,2.024291498,15.58704453,27.73279352,102.2267206,FALSE,
CuxO,Nanocrystal,Cu,40.6,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,54.048583,5.263157895,19.43319838,17.58704453,96.33198381,FALSE,
CuxO,Nanocrystal,Cu,25.4,-1.13,K+,0.1,HCO3-,0.1,AnIon exchange membrane,94.06071271,0.131984162,0.131984162,1.40783106,95.73251209,FALSE,
CuxO,Nanocrystal,Cu,25.4,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,58.424989,0.131984162,0.791904971,31.54421469,90.89309282,FALSE,
CuxO,Nanocrystal,Cu,25.4,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,41.04707435,0.131984162,3.431588209,56.36339639,100.9740431,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,36.64760229,0.791904971,4.751429828,57.00439947,99.19533656,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,37.96744391,1.671799384,6.511218654,53.14342279,99.29388474,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.32644083,3.211614606,15.53013638,33.90453146,98.97272328,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,67.22393313,2.331720194,13.55037396,22.96524417,106.0712715,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,54.90541135,6.95116586,21.90937088,16.80598328,100.5719314,FALSE,
CuxO,Nanocrystal,Cu,25.4,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,61.72459305,13.33040035,24.98900132,2.947646282,102.991641,FALSE,
CuxO,Nanocrystal,Cu,18.2,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,84.33476395,0,7.939914163,12.66094421,104.9356223,FALSE,
CuxO,Nanocrystal,Cu,18.2,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.56652361,0,2.145922747,50.40772532,99.12017168,FALSE,
